Date,Open,High,Low,Close
2016-10-04,1093.05,1108.3,1092.0,1096.35
2016-10-05,1104.0,1106.5,1085.8,1089.4
2016-10-06,1092.0,1126.25,1092.0,1110.8
2016-10-07,1114.0,1123.05,1106.5,1109.0
2016-10-10,1114.0,1122.0,1094.0,1096.35
2016-10-13,1089.0,1089.05,1052.0,1057.15
2016-10-14,1063.0,1082.0,1061.65,1077.65
2016-10-17,1080.0,1080.8,1058.75,1060.65
2016-10-18,1066.0,1082.75,1062.05,1081.1
2016-10-19,1084.45,1094.7,1081.4,1087.35
2016-10-20,1093.95,1098.0,1084.05,1087.55
2016-10-21,1097.0,1097.0,1058.4,1064.2
2016-10-24,1070.0,1074.0,1060.65,1063.3
2016-10-25,1065.0,1065.25,1054.2,1060.85
2016-10-26,1056.05,1059.45,1052.1,1054.05
2016-10-27,1051.1,1053.9,1043.4,1048.7
2016-10-28,1050.0,1058.0,1043.8,1054.95
2016-10-30,1058.75,1058.75,1046.3,1051.2
2016-11-01,1051.3,1055.95,1047.4,1051.0
2016-11-02,1041.0,1042.85,1021.0,1023.75
2016-11-03,1023.85,1034.75,1020.6,1023.95
2016-11-04,1020.25,1026.9,1000.0,1005.55
2016-11-07,1014.0,1016.55,999.05,1001.15
2016-11-08,1005.7,1005.7,998.3,1003.5
2016-11-09,950.0,1009.0,930.0,1004.6
2016-11-10,1018.6,1028.95,1007.0,1010.4
2016-11-11,997.85,1017.5,995.1,1001.75
2016-11-15,996.5,1000.0,979.55,985.4
2016-11-16,995.0,996.8,980.7,986.55
2016-11-17,986.0,998.15,974.4,977.75
2016-11-18,985.0,992.7,982.0,987.5
2016-11-21,987.55,993.55,983.2,991.5
2016-11-22,997.7,1007.8,993.3,1001.45
2016-11-23,1005.0,1010.5,999.55,1009.0
2016-11-24,1005.55,1005.55,982.2,987.35
2016-11-25,990.0,995.9,984.35,993.7
2016-11-28,993.0,1000.6,984.1,986.65
2016-11-29,989.0,1004.3,988.05,997.7
2016-11-30,999.95,999.95,986.65,990.05
2016-12-01,1000.0,1015.0,995.0,997.75
2016-12-02,995.9,1005.0,991.8,994.75
2016-12-05,995.0,999.7,986.5,993.85
2016-12-06,996.0,1006.55,994.6,1005.2
2016-12-07,1004.0,1007.6,996.35,999.15
2016-12-08,1005.05,1021.8,1004.35,1020.05
2016-12-09,1022.0,1031.85,1020.3,1028.95
2016-12-12,1020.5,1041.7,1020.5,1027.2
2016-12-13,1028.0,1041.0,1027.55,1039.8
2016-12-14,1039.8,1064.45,1038.2,1059.5
2016-12-15,1052.4,1067.6,1048.65,1052.95
2016-12-16,1052.0,1062.0,1052.0,1057.15
2016-12-19,1055.0,1066.95,1054.35,1062.55
2016-12-20,1054.7,1061.0,1053.15,1057.9
2016-12-21,1060.1,1067.3,1057.2,1063.25
2016-12-22,1058.0,1062.65,1050.95,1053.35
2016-12-23,1052.0,1068.95,1052.0,1057.3
2016-12-26,1054.35,1066.0,1044.65,1047.45
2016-12-27,1047.85,1067.1,1047.0,1064.7
2016-12-28,1067.9,1069.55,1047.1,1049.7
2016-12-29,1050.0,1068.8,1049.5,1065.45
2016-12-30,1064.8,1085.0,1063.1,1082.4
2017-01-02,1084.0,1090.0,1072.35,1085.1
2017-01-03,1089.85,1097.0,1081.1,1089.4
2017-01-04,1092.9,1093.0,1064.3,1067.15
2017-01-05,1071.0,1079.9,1068.75,1077.4
2017-01-06,1074.2,1085.0,1073.1,1074.95
2017-01-09,1077.0,1086.0,1071.0,1077.7
2017-01-10,1080.0,1094.4,1080.0,1089.85
2017-01-11,1095.0,1095.7,1084.0,1086.05
2017-01-12,1087.0,1090.35,1079.8,1083.3
2017-01-13,1084.55,1097.5,1084.55,1090.4
2017-01-16,1089.95,1093.95,1073.95,1076.25
2017-01-17,1065.0,1068.0,1038.5,1041.25
2017-01-18,1042.6,1048.0,1028.75,1032.55
2017-01-19,1035.15,1045.3,1031.0,1033.7
2017-01-20,1033.95,1037.45,1023.9,1025.8
2017-01-23,1021.8,1031.0,1012.8,1015.9
2017-01-24,1017.0,1028.8,1017.0,1027.3
2017-01-25,1032.0,1032.7,1016.15,1017.3
2017-01-27,1020.25,1028.9,1019.0,1025.1
2017-01-30,1024.95,1046.45,1024.8,1044.8
2017-01-31,1046.85,1053.8,1040.3,1045.2
2017-02-01,1046.1,1050.9,1035.2,1049.65
2017-02-02,1050.0,1050.8,1038.25,1043.5
2017-02-03,1046.0,1050.45,1030.1,1033.65
2017-02-06,1037.0,1044.9,1032.05,1041.65
2017-02-07,1042.0,1042.35,1027.2,1030.9
2017-02-08,1030.9,1038.25,1022.0,1025.15
2017-02-09,1028.0,1034.0,1026.8,1032.75
2017-02-10,1035.0,1035.55,1025.55,1030.15
2017-02-13,1033.0,1034.0,1022.0,1029.85
2017-02-14,1035.0,1052.9,1029.9,1049.8
2017-02-15,1052.9,1057.5,1045.25,1051.3
2017-02-16,1052.55,1069.45,1052.55,1067.5
2017-02-17,1066.5,1078.2,1058.45,1075.5
2017-02-20,1070.55,1078.85,1066.5,1075.4
2017-02-21,1075.2,1090.95,1073.05,1088.2
2017-02-22,1093.0,1211.65,1092.0,1207.5
2017-02-23,1213.6,1222.0,1179.35,1182.75
2017-02-27,1190.5,1256.8,1190.35,1238.9
2017-02-28,1232.0,1248.0,1228.5,1238.05
2017-03-01,1240.1,1244.4,1230.0,1234.5
2017-03-02,1237.9,1254.7,1227.05,1236.75
2017-03-03,1241.55,1287.8,1241.55,1258.55
2017-03-06,1269.0,1312.0,1265.25,1305.35
2017-03-07,1318.85,1327.0,1296.15,1304.95
2017-03-08,1307.7,1307.7,1286.1,1291.2
2017-03-09,1290.0,1298.0,1281.5,1286.75
2017-03-10,1290.25,1296.0,1261.2,1281.65
2017-03-14,1318.75,1319.0,1285.25,1289.5
2017-03-15,1291.05,1316.3,1290.4,1304.95
2017-03-16,1310.0,1310.4,1293.6,1297.65
2017-03-17,1308.0,1319.95,1298.05,1300.7
2017-03-20,1306.0,1306.25,1278.35,1280.8
2017-03-21,1282.2,1283.9,1259.3,1263.8
2017-03-22,1252.0,1265.9,1246.55,1259.7
2017-03-23,1263.15,1277.55,1258.0,1273.3
2017-03-24,1274.1,1292.0,1268.45,1286.75
2017-03-27,1271.1,1278.75,1247.2,1251.1
2017-03-28,1258.0,1264.0,1242.1,1245.75
2017-03-29,1251.7,1260.0,1233.35,1256.65
2017-03-30,1255.0,1274.75,1253.0,1270.65
2017-03-31,1266.0,1337.65,1266.0,1320.9
2017-04-03,1342.0,1380.5,1337.05,1374.65
2017-04-05,1395.2,1418.0,1380.1,1415.0
2017-04-06,1409.0,1448.9,1402.2,1438.5
2017-04-07,1421.3,1434.0,1402.55,1406.6
2017-04-10,1410.0,1424.9,1377.3,1381.35
2017-04-11,1387.85,1400.45,1370.1,1372.35
